 AGRALE,,,,,,,,,
Retroexcavadora,H2167,P5036,P5073,J3034,J3035,K4015(HI),,,
W-20B (Brasil),T2017,(2) Z5037,,J3087,J3031,K4015(HI),K4068(TH),,
W20 E,,,,J3512R,J3527R,,,,
220 MAGNUM MX motor Cummins 6 CTAA 220 HP SAE,,,,,,,,,
240 MAGNUM MX motor Cummins 6 CTAA 240 HP SAE,,,,,,,,,
270 MAGNUM MX motor Cummins 6 CTAA 270 HP SAE,,,,,,,,,
135 MAXXUM MX 137 CV,,,,,,K4068(TH),,,
150 MAXXUM MXM 149 CV,,,,,,,,,
165 MAXXUM MXM 170 CV,,,,,,,,,
190 MAXXUM MXM 194 HP SAE,,,,,,,,,
2188 motor Cummins300HP Cosechadora,H2198,,,,,,,,
2388 Extreme motor Cummins 8.3L T.280HP Cosechadora,H2198,P5142 CP,P5073,,,,,,
410 MINICARGADORA,,,,J3509R,J3510R,,,,
430 MINICARGADORA,H2212,P5177,,J3509R,J3510R,,,,
440 MINICARGADORA,H2212,P5136,,J3691R,J3521R,,,,
,,,,,,,,,
CATERPILLAR,,,,,,,,,
D8 SERIE 22A. 35A. 36A. 36A 1-4468,T2040,Z5059,,J3025,,K4044(DH),,,
D8 SERIE 52A. 68A. 46A 1-10724,T2040,(2) Z5059,,J3025,,K4044(DH),,,
,,,,,,K4044(DH),,,
D8L,,,,J3108,J3109,K4044(DH),,,
D8 SERIE 76 V1-UP. 77 V1 UP,(2) H2044,(2) P5054,,J3096,J3097,K4044(DH),,,
D7 SERIE 47A 3678 UP. 48A 6883  UP,T2042,(2) Z5059,,J3098,J3099,K4044(DH),,,
D7 SERIE 91V1-UP,H2033,P5054,,J3085,J3086,K4005(TH),,,
D6 SERIE 92V1-2126,H2033,P5054,,J3085,J3086,K4005(TH),,,
D6 SERIE 99J1-1550. 10K1-5984,T2040,P5054,,J3085,J3100,K4005(TH),,,
D6 SERIE 69 V1-UP. 3X. 4X. 5X. 6X,H2033,P5054,,J3096,J3097,K4005(TH),,,
D6H,H2033,P5054,,J3612R,J3613R,K4075(TH) K4005  K4028,,,
CATERPILLAR ,,,,J3541R,J3542R,K4005(HI),,,
,,,,,,,,,
D5 SERIE 93J1-677,T2040,P5054,,J3085,J3100,K4044(TH),,,
D5 SERIE 93J 678-904,H2033,P5054,,J3085,J3100,K4044(TH),,,
D5 SERIE 81H1-UP,T2040,Z5059,,J3101,J3102,K4044(DH),,,
D5 SERIE 22X1-UP,H2033,P5054,,J3085,J3100,K4044(DH),,,
