"vehiculo","filtro","created_at","updated_at"
2358,346,"2013-04-28 18:31:17","2013-04-28 18:31:17"
2752,346,"2013-04-28 18:31:34","2013-04-28 18:31:34"
2753,346,"2013-04-28 18:31:34","2013-04-28 18:31:34"
2832,346,"2013-04-28 18:33:39","2013-04-28 18:33:39"
2853,346,"2013-04-28 18:33:42","2013-04-28 18:33:42"
2854,346,"2013-04-28 18:33:42","2013-04-28 18:33:42"
2854,346,"2013-04-28 18:33:42","2013-04-28 18:33:42"
2858,346,"2013-04-28 18:33:43","2013-04-28 18:33:43"
2862,346,"2013-04-28 18:33:43","2013-04-28 18:33:43"
344,347,"2013-04-28 18:08:41","2013-04-28 18:08:41"
347,347,"2013-04-28 18:08:42","2013-04-28 18:08:42"
344,347,"2013-04-28 18:09:05","2013-04-28 18:09:05"
347,347,"2013-04-28 18:09:06","2013-04-28 18:09:06"
145,347,"2013-04-28 18:09:35","2013-04-28 18:09:35"
164,347,"2013-04-28 18:09:37","2013-04-28 18:09:37"
181,347,"2013-04-28 18:09:39","2013-04-28 18:09:39"
199,347,"2013-04-28 18:09:41","2013-04-28 18:09:41"
201,347,"2013-04-28 18:09:41","2013-04-28 18:09:41"
203,347,"2013-04-28 18:09:41","2013-04-28 18:09:41"
206,347,"2013-04-28 18:09:42","2013-04-28 18:09:42"
207,347,"2013-04-28 18:09:42","2013-04-28 18:09:42"
210,347,"2013-04-28 18:09:42","2013-04-28 18:09:42"
986,347,"2013-04-28 18:27:32","2013-04-28 18:27:32"
988,347,"2013-04-28 18:27:32","2013-04-28 18:27:32"
989,347,"2013-04-28 18:27:32","2013-04-28 18:27:32"
991,347,"2013-04-28 18:27:32","2013-04-28 18:27:32"
996,347,"2013-04-28 18:27:33","2013-04-28 18:27:33"
1230,347,"2013-04-28 18:27:52","2013-04-28 18:27:52"
840,348,"2013-04-28 18:26:48","2013-04-28 18:26:48"
862,348,"2013-04-28 18:27:12","2013-04-28 18:27:12"
963,348,"2013-04-28 18:27:28","2013-04-28 18:27:28"
961,348,"2013-04-28 18:27:28","2013-04-28 18:27:28"
965,348,"2013-04-28 18:27:28","2013-04-28 18:27:28"
965,348,"2013-04-28 18:27:28","2013-04-28 18:27:28"
967,348,"2013-04-28 18:27:29","2013-04-28 18:27:29"
985,348,"2013-04-28 18:27:31","2013-04-28 18:27:31"
1467,348,"2013-04-28 18:29:05","2013-04-28 18:29:05"
1618,348,"2013-04-28 18:29:27","2013-04-28 18:29:27"
1650,348,"2013-04-28 18:29:31","2013-04-28 18:29:31"
1661,348,"2013-04-28 18:29:33","2013-04-28 18:29:33"
1662,348,"2013-04-28 18:29:33","2013-04-28 18:29:33"
1663,348,"2013-04-28 18:29:33","2013-04-28 18:29:33"
1664,348,"2013-04-28 18:29:33","2013-04-28 18:29:33"
1814,348,"2013-04-28 18:30:00","2013-04-28 18:30:00"
2100,348,"2013-04-28 18:30:41","2013-04-28 18:30:41"
2162,348,"2013-04-28 18:30:50","2013-04-28 18:30:50"
2167,348,"2013-04-28 18:30:50","2013-04-28 18:30:50"
2170,348,"2013-04-28 18:30:51","2013-04-28 18:30:51"
2182,348,"2013-04-28 18:30:53","2013-04-28 18:30:53"
2185,348,"2013-04-28 18:30:54","2013-04-28 18:30:54"
2189,348,"2013-04-28 18:30:54","2013-04-28 18:30:54"
2191,348,"2013-04-28 18:30:55","2013-04-28 18:30:55"
2192,348,"2013-04-28 18:30:55","2013-04-28 18:30:55"
2193,348,"2013-04-28 18:30:55","2013-04-28 18:30:55"
2200,348,"2013-04-28 18:30:56","2013-04-28 18:30:56"
2201,348,"2013-04-28 18:30:56","2013-04-28 18:30:56"
2202,348,"2013-04-28 18:30:57","2013-04-28 18:30:57"
2208,348,"2013-04-28 18:30:57","2013-04-28 18:30:57"
2209,348,"2013-04-28 18:30:57","2013-04-28 18:30:57"
2210,348,"2013-04-28 18:30:57","2013-04-28 18:30:57"
2212,348,"2013-04-28 18:30:57","2013-04-28 18:30:57"
2213,348,"2013-04-28 18:30:58","2013-04-28 18:30:58"
2214,348,"2013-04-28 18:30:58","2013-04-28 18:30:58"
2216,348,"2013-04-28 18:30:58","2013-04-28 18:30:58"
2217,348,"2013-04-28 18:30:59","2013-04-28 18:30:59"
2219,348,"2013-04-28 18:30:59","2013-04-28 18:30:59"
2220,348,"2013-04-28 18:30:59","2013-04-28 18:30:59"
2225,348,"2013-04-28 18:31:00","2013-04-28 18:31:00"
2226,348,"2013-04-28 18:31:00","2013-04-28 18:31:00"
2240,348,"2013-04-28 18:31:02","2013-04-28 18:31:02"
2241,348,"2013-04-28 18:31:02","2013-04-28 18:31:02"
2242,348,"2013-04-28 18:31:02","2013-04-28 18:31:02"
2243,348,"2013-04-28 18:31:03","2013-04-28 18:31:03"
2258,348,"2013-04-28 18:31:05","2013-04-28 18:31:05"
2259,348,"2013-04-28 18:31:05","2013-04-28 18:31:05"
2260,348,"2013-04-28 18:31:05","2013-04-28 18:31:05"
2261,348,"2013-04-28 18:31:06","2013-04-28 18:31:06"
2262,348,"2013-04-28 18:31:06","2013-04-28 18:31:06"
2310,348,"2013-04-28 18:31:12","2013-04-28 18:31:12"
2362,348,"2013-04-28 18:31:17","2013-04-28 18:31:17"
2399,348,"2013-04-28 18:31:23","2013-04-28 18:31:23"
2401,348,"2013-04-28 18:31:24","2013-04-28 18:31:24"
2750,348,"2013-04-28 18:31:33","2013-04-28 18:31:33"
2751,348,"2013-04-28 18:31:34","2013-04-28 18:31:34"
2857,348,"2013-04-28 18:33:42","2013-04-28 18:33:42"
2863,348,"2013-04-28 18:33:44","2013-04-28 18:33:44"
1669,349,"2013-04-28 18:29:35","2013-04-28 18:29:35"
1672,349,"2013-04-28 18:29:35","2013-04-28 18:29:35"
1673,349,"2013-04-28 18:29:35","2013-04-28 18:29:35"
1674,349,"2013-04-28 18:29:35","2013-04-28 18:29:35"
1676,349,"2013-04-28 18:29:35","2013-04-28 18:29:35"
1676,349,"2013-04-28 18:29:36","2013-04-28 18:29:36"
1718,349,"2013-04-28 18:29:44","2013-04-28 18:29:44"
1719,349,"2013-04-28 18:29:44","2013-04-28 18:29:44"
1720,349,"2013-04-28 18:29:44","2013-04-28 18:29:44"
1721,349,"2013-04-28 18:29:45","2013-04-28 18:29:45"
1748,349,"2013-04-28 18:29:50","2013-04-28 18:29:50"
1750,349,"2013-04-28 18:29:50","2013-04-28 18:29:50"
1751,349,"2013-04-28 18:29:50","2013-04-28 18:29:50"
1753,349,"2013-04-28 18:29:50","2013-04-28 18:29:50"
18,350,"2013-04-28 18:08:45","2013-04-28 18:08:45"
