PATHFINDER PICK UP diesel;H2011;;;J3240;;;;
PICK UP turbo diesel;H2011;;;J3032;;;;
PRIMERA 2.0L SINGLE POINT;H2162;;;;;;;
TERRANO II;H2011;P5112;;J3432;;;;
FRONTIER 2.8 TD Intercooler XE motor MWM Sprint        ;H2206;P5169;;J3533R;J3556R;;;
FRONTIER X E TD ;H2206;P5169;;J3533R;J3556R;;;
X TERRA;H2206;P5169;;J3533R;J3556R;;;
FRONTIER;H2206;;;J3569R;J3570R;;;
NISSAN NEW FRONTIER 2.5;H2048;P5114;;J3706(PA);;;;
;;;;;;;;
 PEUGEOT;;;;;;;;
404 T4-B. 504 motor Indenor XD- 4.88;T2117;Z5067;;;;;;
404 T4-B motor Peugeot XN-1;H2118;Z5105;;;;;;
404 T4-B. 504 motor Indenor XD-4.88;H2118;Z5020;;;;;;
504 1.1 Tn. 1.3 Tn. GR 1300. GR 750 motor Peugeot XN-1;H2118;Z5105;;;;;;
504 1.1 Tn. 1.3 Tn. GR 1300. GR 750 motor Peugeot XN-1;H2119;Z5105;;;;;;
504 dies. GD. GD Confort motor Peug XD-2 - XD-3;H2119;Z5020;;;;;;
806 SR. ST;H2119;;;J3238 (PA);;;;
BOXER Furgón motor 1.9 diesel;H2081;Z5020;;J3181;;;;
BOXER Furgón motor 2.5 diesel;H2081;Z5020;;J3342;;;;
BOXER 330 motor FIAT 2.8 Hdi;;Z5207;;J3654;;;;
BOXER MULTI JET 2.3 Turbo;H2037;Z5207;;J3654;;;;
BOXER motor IVECO 2.3 JTD;H2126;Z5207;;J3654;;;;
ESPERT 1.9 D;H2119;;;J3238 (PA);;;;
ESPERT;T2219E;Z5202E;;J3022(PA;;;;
PARTNER Furgón motor 1.9 naftero;H2119;;;J3328 (PA);;;;
PARTNER Furgón 170C motor 1.9 diesel;H2119;Z5133;;J3340;;;;
PARTNER II 1.4 I;T2207;Z5184E;;J3392;;;;
PARTNER 1.5 Hdi;T2219E;;;;;;;
PARTNER 1.6 Hdi;T2219E;;;J3716 (PA);;;;
PEUGEOT HOGGAR 1.6 16 Valvula;;;;;;;;
RASTROJERO / IME;;;;;;;;
PICK UP motor Indenor XD 4-88;T2117;Z5067;;;;;;
PICK UP motor Indenor XD 4-88;H2118;Z5020;;;;;;
;;;;;;;;
;;;;;;;;
RENAULT;;;;;;;;
ESTANCIERA  motor Tornado 4 bancadas;H2069 ; H2122;Z5105;;;;;
ESTANCIERA  motor Torino 7 bancadas;H2069;Z5105;;;;;;
EXPRESS D 55  motor 1.9 diesel;H2083;Z5116 ;;J3280;;;;
EXPRESS  motor 1.9 diesel ;H2125;Z5145;;J3280;;;;
JEEP. ESTANCIERA motor Continental 4 Y 6 cilindros;T2130;Z5105;;;;;;
JEEP GLADIATOR motor Tornado 4 bancadas;H2069 ; H2122;Z5105;;;;;
JEEP GLADIATOR motor Torino 7 bancadas;H2069;Z5105;;J3244;;;;
JEEP 1000 motor Tornado 4 bancadas;H2069 ; H2122;Z5105;;J3243;;;
JEEP 1000 motor Tornado 7 bancadas;H2069;Z5105;;J3245;;;;
DUSTER 1.6 naftero;H2127;N1016;;J3474(PA;;;;
DUSTER 2.0 naftero;H2127;(2)  N1016;;J3474(PA;;;;
KANGOO naftero;T2199;;;;;;;
KANGOO 1.4 ie multipunto naftero;H2188;;;J3428(PA);;;;
KANGOO 1.6;H2157;;;J3659;;;;
KANGOO 1.6;H2157;;;J3474(PA);;;;
KANGOO motor 1.9 diesel;H2157;Z5186E;;J3431(PA);;;;
KANGOO 1.9 D;H2157;Z5145;;J3431(PA);;;;
KANGOO 1.9 D;H2157;Z5186E;;J3593(PA);;;;
KANGOO DCI 1.5;H2157;P5206;;J3507(PA);;;;
KANGOO DCI 1.5;H2127;P5206;;J3507(PA);;;;
KOLEOS 2.5;H2039;;;J3441(PA);;;;
MASTER motor 2.8 diesel;H2012;D;Z5149;;J3439(PA);;;
MASTER motor 2.8 L diesel;H2012;D;P5162P;;J3439(PA);;;
MASTER  motor 2.8 l TD;H2012;D;P5162P;;J3439(PA);;;
MASTER DCI 120 2.5 Motor RENAULT Turbo Intercooler ;T2215E;Z5189;;J3605(PA);;;;
MASTER DCI 120 2.5 Turbo Intercooler II Serie;T2215E;Z5189;;;;;;
MASTER 120 DCI;T2215E;Z5189;;J3561(PA);;;;
MASTER G9U DCI 2.5 motor RENAULT Caja sexta;;;;;;;;
R 4 F;H2122;Z5105;;J3246;;;;
R 4 F;H2123;Z5105;;J3246;;;;
RODEO motor Renault 1.7 diesel;H2120;Z5135 ;;Z5068;J3254;;;
TRAFIC diesel (Francia);H2120;;;J3113 ; J3124 (PA);;;
TRAFIC Todas motor 1.4 naftero;H2123;Z5105;;J3252;;;;
TRAFIC Todas motor 1.4 naftero;H2125;Z5105;;J3252;;;;
TRAFIC Todas motor 2.0 naftero / GNC S / A/A;H2120;Z5105;;J3252;;;;
TRAFIC TA 3. TA83. TA93. T313 motor Renault 1.7 diesel;H2120;Z5135 ;; Z5068;J3254;;;
TRAFIC MASTER 2.1;H2120;;;J3442 (PA);;;;
;;;;;;;;
;;;;;;;;
SUZUKI;;;;;;;;
CARRIER motor 1000;H2135;;;J3352;;;;
KBD 21;H2120;P5078;;;;;;
KBD 26. KBD 41. KB 26;H2120;;;;;;;
MARUTI 1000;H2148;;;;;;;
MARUTI 1.6 L;H2135;;;;;;;
SAMURAI ;H2135;;;;;;;
SAMURAI - ie;H2135 ; H2148;;;;;;
SIDEKICK;H2135;;;;;;;
ST 90;H2135;;;J3248;;;;
VITARA carburador;H2135;;;J3301;;;;
VITARA ie 1.6 8V. 16V;H2135;;;;;;;
VITARA 6CIL. 2.0 ie;H2169;;;;;;;
VITARA 2.0 turbo diesel;H2111;P5112 (CS);;;;;;
;;;;;;;;
TATA;;;;;;;;
207 Telcoline 483DL / SUMO Jeep motor 2.0 diesel;H2120 ; H2068;Z5020 ;;J3181;;;
SUMO tata turbo TDI ;H2189;2  Z5055;;J3399;;;;
;;;;;;;;
TOYOTA;;;;;;;;
BANDEIRANTE motor MB OM364;T2034;(2) Z5055;; J3034; J3035;;;
BANDEIRANTE motor Toyota 3.7;H2069;;;J3034; J3035;;;
HI LUX 2.2 diesel;H2069;P5078;;J3273 ;; J3255;;
HI LUX 2.4. 2.8 diesel;H2069;P5114 (CS);;J3273;;;;
HI LUX 4 X4 2.8 diesel;H2069;P5114 (CS);;J3411;;;;
HI LUX 3.0 turbo diesel;;P5114 (CS);;J3468;;;;
HI LUX 3.0 sin turbo diesel;H2069;P5114 (CS);;J3468;;;;
HI LUX STOUT. HI ACE 2.0;H2110;;;;;;;
